env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic345,simplevit,0.0593197,0.6021,1.74373
haa,class_room,mic346,simplevit,0.0217687,0.338085,2.18127
haa,class_room,mic348,simplevit,0.0152381,0.00248492,1.56429
haa,class_room,mic349,simplevit,0.0917007,2.18884,5.6103
haa,class_room,mic350,simplevit,0.140408,2.24873,5.41636
haa,class_room,mic352,simplevit,0.0138776,0.253755,1.26752
haa,class_room,mic353,simplevit,0.00653061,0.748212,1.44065
haa,class_room,mic354,simplevit,0.195374,2.74424,8.86984
haa,class_room,mic356,simplevit,0.12517,2.80415,1.9059
haa,class_room,mic357,simplevit,0.0465306,1.59111,2.26969
haa,class_room,mic358,simplevit,0.0212245,0.59327,1.28871
haa,class_room,mic360,simplevit,0.0557823,1.73473,1.13455
haa,class_room,mic361,simplevit,0.0258503,0.744457,9.43739
haa,class_room,mic362,simplevit,0.017415,0.748984,3.49336
haa,class_room,mic364,simplevit,0.199728,3.68958,5.35749
haa,class_room,mic365,simplevit,0.0138776,0.814568,0.175713
haa,class_room,mic366,simplevit,0.00843537,0.321252,1.54232
haa,class_room,mic368,simplevit,0.188299,3.90596,0.562561
haa,class_room,mic369,simplevit,0.0862585,2.32413,1.32937
haa,class_room,mic370,simplevit,0.21932,5.70199,10.4365
haa,class_room,mic372,simplevit,0.0702041,1.60898,4.194
haa,class_room,mic373,simplevit,0.108299,1.71086,3.79393
haa,class_room,mic374,simplevit,0.128435,2.6502,5.29963
haa,class_room,mic376,simplevit,0.19483,4.76235,8.29319
haa,class_room,mic377,simplevit,0.439184,9.96322,22.4365
haa,class_room,mic378,simplevit,0.158367,1.85585,0.732945
haa,class_room,mic380,simplevit,0.206531,3.55523,6.61939
haa,class_room,mic381,simplevit,0.169524,3.05792,3.52042
haa,class_room,mic382,simplevit,0.209252,3.70783,2.32189
haa,class_room,mic384,simplevit,0.353741,8.60478,14.7358
haa,class_room,mic385,simplevit,0.00816327,1.98548,3.6863
haa,class_room,mic386,simplevit,0.130068,2.45656,1.01377
haa,class_room,mic388,simplevit,0.0157823,1.03376,3.90579
haa,class_room,mic389,simplevit,0.0614966,2.48215,10.5352
haa,class_room,mic390,simplevit,0.0612245,1.61182,5.11699
haa,class_room,mic392,simplevit,0.0261224,0.150589,1.78178
haa,class_room,mic393,simplevit,0.0198639,1.1935,1.60576
haa,class_room,mic394,simplevit,0.0304762,0.945947,0.447177
haa,class_room,mic396,simplevit,0.130068,1.77305,0.112108
haa,class_room,mic397,simplevit,0.0111565,0.614661,0.206573
haa,class_room,mic398,simplevit,0.120272,3.13171,1.41546
haa,class_room,mic400,simplevit,0.0212245,0.525061,0.5997
haa,class_room,mic402,simplevit,0.0579592,0.457339,2.01598
haa,class_room,mic403,simplevit,0.0263946,0.323336,7.9206
haa,class_room,mic404,simplevit,0.0242177,0.760738,1.1238
haa,class_room,mic406,simplevit,0.0272109,0.628578,2.47774
haa,class_room,mic407,simplevit,0.0337415,0.503484,4.69116
haa,class_room,mic408,simplevit,0.0595918,0.425201,0.0364232
haa,class_room,mic410,simplevit,0.0770068,1.13952,1.85254
haa,class_room,mic411,simplevit,0.0302041,1.08389,1.92449
haa,class_room,mic412,simplevit,0.0653061,1.72419,3.8476
haa,class_room,mic414,simplevit,0.0206803,0.0269578,0.54236
haa,class_room,mic415,simplevit,0,0.815186,1.62678
haa,class_room,mic416,simplevit,0.0103401,0.517237,1.16645
haa,class_room,mic418,simplevit,0.00707483,0.811366,0.653476
haa,class_room,mic419,simplevit,0.0234014,1.23489,0.624311
haa,class_room,mic420,simplevit,0.0772789,1.14216,5.77803
haa,class_room,mic422,simplevit,0.0617687,0.229863,10.0784
haa,class_room,mic423,simplevit,0.0214966,0.447357,8.22736
haa,class_room,mic424,simplevit,0.0478912,0.0338268,5.56182
haa,class_room,mic426,simplevit,0.0832653,1.85438,16.9438
haa,class_room,mic427,simplevit,0.0163265,0.207845,3.12439
haa,class_room,mic428,simplevit,0.0440816,0.887352,9.04192
haa,class_room,mic430,simplevit,0.0797279,0.284802,7.58221
haa,class_room,mic431,simplevit,0.0302041,0.214388,4.47537
haa,class_room,mic432,simplevit,0.0870748,1.63238,15.0908
haa,class_room,mic434,simplevit,0.0620408,1.69115,6.89231
haa,class_room,mic435,simplevit,0.147483,2.60657,13.7959
haa,class_room,mic436,simplevit,0.192653,2.85338,12.0778
haa,class_room,mic438,simplevit,0.0590476,0.839868,11.3052
haa,class_room,mic439,simplevit,0.12,1.73049,8.89472
haa,class_room,mic440,simplevit,0.00544218,0.639335,9.9897
haa,class_room,mic442,simplevit,0.0253061,0.762143,4.4522
haa,class_room,mic443,simplevit,0.134694,1.75781,10.56
haa,class_room,mic444,simplevit,0.122177,0.464377,2.51762
haa,class_room,mic446,simplevit,0.0642177,1.09059,8.40369
haa,class_room,mic447,simplevit,0.110748,1.28163,7.40142
